job_title,country,salary,doj,dob
Senior Software Engineer,Ireland,117507.49,2020-01-06,1995-01-04
Senior Software Engineer,Netherlands,90601.33,2022-12-04,1994-07-05
Customer Success Manager,Singapore,84390.72,2019-07-09,1980-10-07
Legal Counsel,Australia,94066.92,2017-02-17,1973-10-31
HR Manager,Sweden,99159.92,2017-06-10,1997-04-10
Project Manager,Canada,100771.75,2021-05-02,1978-05-13
VP of Engineering,Denmark,216749.99,2019-08-10,1989-10-07
Accountant,UAE,63592.52,2020-09-03,1977-05-04
UI Designer,UAE,66537.68,2015-04-18,1990-04-24
Project Manager,Switzerland,88943.12,2015-06-14,1989-11-06
Network Engineer,Australia,92151.83,2019-12-20,1992-09-13
Data Analyst,Mexico,70525.36,2016-04-08,1979-05-29
IT Specialist,Brazil,71737.67,2016-03-10,1982-12-11
Software Engineer,Australia,92738.05,2021-11-27,1972-02-11
Software Engineer,Ireland,82873.13,2024-09-07,1992-04-12
Legal Counsel,USA,113090.97,2018-03-03,1996-02-24
Legal Counsel,Brazil,111413.89,2020-08-06,2000-10-02
Support Engineer,India,74964.76,2018-07-10,1998-02-04
Support Engineer,Ireland,54001.49,2015-07-15,1978-06-06
Frontend Developer,Germany,64408.54,2022-05-19,1976-03-05
Data Analyst,UAE,59169.99,2023-10-04,1992-07-07
Scrum Master,USA,90416.36,2018-12-29,1973-07-18
Data Analyst,India,89751.62,2022-02-13,1994-12-25
Accountant,USA,60433.42,2017-01-23,1973-12-28
Software Engineer,UK,72788.88,2016-06-08,1987-04-28
Senior Software Engineer,Canada,114886.30,2015-07-06,1999-09-14
Network Engineer,USA,77745.95,2016-01-25,1991-04-04
Frontend Developer,UK,98277.60,2015-09-28,1973-11-10
HR Manager,Brazil,86801.31,2016-08-12,1992-01-11
Support Engineer,South Africa,61204.45,2024-12-01,1990-04-10
DevOps Engineer,UK,105295.81,2024-06-16,1999-11-08
Project Manager,South Africa,101264.10,2023-11-03,1974-03-17
Machine Learning Engineer,UK,143921.60,2024-04-29,1975-05-08
Content Writer,Switzerland,46673.41,2020-06-03,1970-04-21
Database Administrator,New Zealand,68241.35,2024-02-19,1980-02-19
UI Designer,France,87035.41,2024-02-03,1982-10-06
Network Engineer,Denmark,77028.55,2015-02-03,1971-12-14
Compliance Officer,Singapore,101945.21,2023-03-19,1977-10-30
Support Engineer,Singapore,67476.17,2018-02-28,1972-05-22
UI Designer,Ireland,89780.29,2016-08-06,1992-01-17
IT Specialist,Norway,75959.76,2016-06-10,1979-10-25
Junior Developer,UK,59733.16,2022-11-05,1989-08-04
HR Manager,Australia,87953.01,2019-02-21,1972-12-18
Software Engineer,UK,92647.21,2021-05-23,1992-05-05
Compliance Officer,Netherlands,87718.55,2023-02-17,1983-12-12
Financial Analyst,India,78900.12,2017-07-04,1984-04-29
CTO,USA,195046.91,2017-08-22,1990-05-30
Compliance Officer,Denmark,90966.72,2022-04-12,1981-09-27
Frontend Developer,Norway,72545.66,2023-01-18,1974-09-25
Customer Success Manager,Australia,65873.45,2016-07-20,1991-04-02
Operations Manager,France,90315.03,2017-05-11,1998-02-09
Graphic Designer,Norway,50612.59,2023-07-27,1997-07-07
Scrum Master,Japan,98292.92,2021-03-10,1972-12-23
HR Manager,UAE,67201.80,2015-12-18,1992-07-08
Project Manager,Switzerland,83495.70,2024-01-24,1982-03-15
Junior Developer,Ireland,65008.46,2018-06-01,1998-08-28
Full Stack Developer,USA,108059.04,2017-08-09,1993-09-15
Senior Software Engineer,Denmark,133627.78,2017-05-19,1970-04-05
Security Analyst,UAE,95103.12,2016-04-02,1970-10-22
Network Engineer,Sweden,98324.26,2019-07-23,1972-10-15
Technical Writer,Australia,57266.69,2015-11-01,1971-04-09
Engineering Manager,France,145101.81,2019-11-02,1970-09-09
Product Manager,France,116104.21,2019-07-22,1974-01-18
Project Manager,UK,100839.27,2023-04-14,1980-03-19
Operations Manager,USA,98518.46,2024-09-03,1980-09-17
Data Analyst,Singapore,62625.79,2021-12-20,1972-08-24
Data Scientist,Singapore,121755.55,2024-11-12,2000-10-29
Project Manager,Norway,86906.33,2022-06-14,1998-08-18
UX Designer,Canada,97104.61,2020-04-15,1977-07-23
Frontend Developer,Sweden,70684.73,2018-06-13,1975-04-09
Data Scientist,New Zealand,123415.10,2022-08-09,1982-05-24
Legal Counsel,Netherlands,138434.08,2018-06-13,1994-07-25
Frontend Developer,South Africa,73369.23,2024-11-03,1996-05-30
Business Analyst,Mexico,82622.80,2019-08-20,1970-10-29
Frontend Developer,Brazil,86761.52,2021-07-12,1981-06-14
Security Analyst,South Africa,103098.56,2020-06-15,1970-05-12
Customer Success Manager,UK,82237.96,2015-06-12,1973-07-29
Sales Manager,Ireland,105947.30,2020-06-20,1974-03-15
Scrum Master,Australia,78919.95,2016-04-13,1981-02-02
Financial Analyst,Australia,97827.11,2016-04-03,1998-10-28
Technical Writer,UK,67506.31,2021-10-08,1995-08-08
DevOps Engineer,Norway,84013.08,2020-11-28,1977-04-02
Support Engineer,Denmark,58316.95,2024-01-19,1974-11-20
CTO,Australia,217670.70,2023-01-18,1985-12-08
DevOps Engineer,Australia,94392.96,2021-07-03,1999-08-18
Senior Software Engineer,India,136925.42,2018-09-15,1998-07-17
Database Administrator,South Africa,93158.63,2015-10-06,1995-01-21
Scrum Master,France,90103.57,2023-11-18,1973-07-02
Software Engineer,UK,71738.52,2016-03-26,1996-01-11
Backend Developer,Norway,71046.74,2016-04-27,1976-09-23
Sales Manager,UAE,81351.18,2019-02-24,1990-11-28
QA Engineer,Japan,80405.58,2020-07-16,1992-01-27
Business Analyst,Canada,87680.29,2021-02-10,1976-08-09
Project Manager,Sweden,116117.91,2020-02-02,1981-12-16
Engineering Manager,UAE,156426.83,2016-06-09,1982-12-12
Finance Manager,UK,86760.68,2017-09-09,1981-03-16
Finance Manager,Netherlands,115442.86,2021-07-15,1998-12-09
Senior Software Engineer,India,94739.02,2015-09-03,1990-02-09
UX Designer,Australia,104582.56,2017-03-18,1988-11-11
Business Analyst,France,63752.39,2020-07-19,1982-12-18
HR Manager,South Africa,83480.89,2016-04-26,1984-06-16
Support Engineer,Singapore,53244.21,2018-08-11,1986-12-06
Security Analyst,Canada,101228.65,2022-04-04,1973-05-21
Security Analyst,South Africa,94922.78,2019-02-20,1993-03-23
Scrum Master,Ireland,96539.82,2020-10-13,1983-12-02
VP of Engineering,Netherlands,187467.09,2019-06-30,1989-02-14
Network Engineer,South Africa,66524.61,2015-02-12,1995-02-28
Engineering Manager,Norway,160404.27,2017-01-14,1995-09-21
Accountant,France,68032.72,2019-07-06,1974-06-05
Operations Manager,Brazil,113697.50,2018-05-19,1986-09-30
UX Designer,Ireland,75042.81,2016-06-17,2000-11-15
DevOps Engineer,Switzerland,100134.68,2017-05-11,1998-07-01
Full Stack Developer,UK,101637.09,2019-07-10,1994-06-18
Data Scientist,South Africa,95102.04,2024-10-03,1978-10-18
Full Stack Developer,New Zealand,96641.05,2016-12-29,1979-04-04
Customer Success Manager,South Africa,97106.00,2023-02-13,1987-10-26
Machine Learning Engineer,Singapore,130633.49,2024-06-04,1984-09-22
Engineering Manager,India,159124.42,2018-05-23,1997-11-10
Senior Software Engineer,Netherlands,134085.27,2018-10-20,1989-11-17
Machine Learning Engineer,Australia,139522.35,2023-12-09,1983-11-20
Compliance Officer,Netherlands,110769.66,2020-09-17,1991-11-12
Frontend Developer,Switzerland,80613.06,2021-01-11,1971-12-31
Technical Writer,UK,69626.01,2023-02-02,1998-03-29
DevOps Engineer,Switzerland,121667.87,2018-03-15,1996-06-28
Machine Learning Engineer,Netherlands,108735.65,2022-12-23,1974-09-05
Product Manager,Germany,130030.55,2019-03-22,1983-01-28
Technical Writer,Brazil,70635.87,2023-04-23,1993-02-12
UX Designer,Australia,65724.69,2021-07-06,1990-09-12
Security Analyst,Denmark,98174.33,2024-07-16,2000-11-05
VP of Engineering,Australia,206450.00,2017-04-25,1975-04-29
Software Engineer,UAE,81280.89,2020-01-01,1997-01-22
DevOps Engineer,New Zealand,80536.35,2015-10-11,1978-04-22
Accountant,Canada,75582.91,2024-02-10,2000-03-15
DevOps Engineer,Germany,120908.53,2018-02-25,1997-04-26
Junior Developer,UAE,57696.70,2020-03-06,1970-09-02
Legal Counsel,Ireland,122790.36,2022-04-03,1992-12-01
Marketing Manager,Netherlands,80710.83,2021-03-08,1980-01-22
Technical Writer,New Zealand,60777.71,2020-07-28,1979-12-30
Backend Developer,Switzerland,76304.79,2018-11-19,1993-06-04
Content Writer,Singapore,60983.83,2024-09-10,1975-11-22
Scrum Master,Ireland,86897.07,2015-04-16,1986-11-11
Business Analyst,Ireland,61166.60,2020-10-27,1985-08-04
Machine Learning Engineer,Switzerland,141136.69,2022-07-07,1988-12-07
UI Designer,Brazil,63930.71,2015-04-05,1975-06-11
Product Manager,Germany,129694.19,2019-01-02,1995-06-01
Marketing Manager,Germany,71928.99,2022-03-31,1991-02-02
Database Administrator,Brazil,78182.92,2022-10-12,1993-12-26
Finance Manager,Germany,127699.23,2020-02-26,1998-06-27
CTO,Ireland,202135.61,2022-01-12,1996-01-18
Cloud Architect,South Africa,157431.77,2015-09-26,1986-12-25
Product Manager,Singapore,118501.73,2015-10-04,1994-05-18
Marketing Manager,Singapore,102944.07,2024-12-20,1973-02-28
UI Designer,Japan,75124.09,2024-03-09,1976-01-31
Senior Software Engineer,Norway,130100.62,2024-06-23,1986-11-29
Software Engineer,Singapore,80660.46,2020-07-31,1988-02-01
VP of Engineering,Netherlands,194433.46,2020-12-05,1988-06-15
Frontend Developer,South Africa,98457.22,2017-11-23,2000-08-29
Cloud Architect,Denmark,146673.60,2022-02-02,1997-09-04
IT Specialist,South Africa,84989.50,2018-06-10,1996-01-12
Data Scientist,Norway,84860.67,2018-02-17,1975-04-21
Customer Success Manager,Canada,89557.94,2015-07-21,1987-04-10
Machine Learning Engineer,Canada,126261.76,2015-09-05,1995-10-02
Customer Success Manager,UK,79630.69,2016-10-01,1995-06-01
Financial Analyst,Japan,96139.79,2023-03-23,1977-01-29
Data Scientist,Netherlands,128040.10,2020-06-19,1990-07-11
Customer Success Manager,Netherlands,67628.02,2024-04-03,1990-04-28
Data Analyst,USA,86940.65,2017-12-02,2000-03-27
Finance Manager,South Africa,124604.41,2023-09-05,1971-03-16
Backend Developer,Singapore,101228.71,2020-09-15,2000-04-13
System Administrator,India,88697.71,2021-10-03,1992-07-14
Business Analyst,Ireland,89031.10,2017-11-12,1998-06-11
Marketing Manager,Norway,101031.19,2016-11-27,1989-01-13
Support Engineer,India,54325.60,2018-02-05,1986-11-26
Senior Software Engineer,Brazil,95737.59,2018-06-10,1985-12-05
VP of Engineering,Denmark,199395.69,2017-08-04,1990-06-15
Accountant,Sweden,71722.62,2019-12-14,1983-04-19
Data Analyst,Sweden,67135.07,2021-10-24,1994-03-07
Junior Developer,UK,58092.14,2024-04-05,1989-01-11
Full Stack Developer,Brazil,77605.84,2017-04-19,1986-08-26
UI Designer,Brazil,87206.40,2019-07-22,1996-10-14
Security Analyst,Mexico,77320.85,2019-05-16,1990-03-08
System Administrator,Ireland,83638.62,2019-10-19,1989-11-03
Product Manager,USA,104711.19,2015-08-02,1999-10-08
Full Stack Developer,UAE,90369.93,2018-03-19,1984-05-05
Scrum Master,Germany,94599.98,2018-06-21,1996-12-07
Operations Manager,Sweden,108567.82,2021-01-15,1990-10-24
Finance Manager,Norway,111315.46,2023-06-23,1992-01-01
Senior Software Engineer,Sweden,124512.12,2019-06-16,1989-06-15
Full Stack Developer,Ireland,82841.27,2023-10-24,1991-08-22
Frontend Developer,USA,62994.07,2023-03-29,1979-08-07
Machine Learning Engineer,Germany,104468.97,2020-02-22,1999-11-06
Customer Success Manager,Mexico,65157.50,2016-04-23,1998-02-10
Project Manager,Switzerland,103148.99,2016-05-04,1992-09-28
Legal Counsel,Canada,90029.26,2021-01-14,1970-09-14
DevOps Engineer,Australia,90084.14,2020-11-16,1971-10-05
UI Designer,India,85339.78,2015-11-08,1990-09-28
Frontend Developer,Singapore,70388.66,2019-07-26,1984-04-08
Senior Software Engineer,UAE,111636.77,2015-10-05,1971-07-11
Frontend Developer,Netherlands,76690.12,2020-11-24,1988-06-16
System Administrator,New Zealand,79039.70,2016-11-22,1993-07-12
Database Administrator,Germany,82340.27,2023-04-19,1975-12-21
Machine Learning Engineer,Canada,144582.86,2020-06-29,1978-08-15
Support Engineer,South Africa,53599.50,2023-01-15,1999-05-31
Operations Manager,Germany,91782.79,2019-12-10,1981-02-18
Backend Developer,UAE,79176.91,2022-03-25,1991-04-22
Marketing Manager,UAE,104024.83,2017-06-21,1980-07-17
Frontend Developer,India,96760.69,2018-04-26,1980-01-18
Machine Learning Engineer,France,129744.51,2024-03-27,1995-05-22
Senior Software Engineer,Australia,100554.09,2019-12-30,1980-09-17
Scrum Master,France,84989.33,2020-03-14,1982-07-08
Compliance Officer,Brazil,97987.98,2018-03-26,1990-12-23
Sales Manager,Norway,90541.36,2021-08-05,1982-09-03
Software Engineer,Japan,62006.91,2019-09-07,1974-03-10
Content Writer,UK,45878.02,2019-11-30,1999-10-19
Operations Manager,Denmark,95052.38,2020-10-22,1977-11-18
Operations Manager,India,102016.49,2023-04-23,1989-06-20
Business Analyst,Germany,73863.25,2018-04-09,1992-05-16
Product Manager,Ireland,125708.49,2019-03-16,1995-03-25
Scrum Master,Brazil,88927.75,2022-11-08,1992-06-07
CTO,Mexico,215170.96,2016-05-28,1988-02-20
HR Manager,Ireland,83492.71,2020-03-10,1985-02-26
Junior Developer,Switzerland,48604.20,2017-08-20,1990-02-18
CTO,Switzerland,252411.00,2022-10-03,1972-05-05
System Administrator,Sweden,87622.48,2017-09-19,1990-01-15
DevOps Engineer,New Zealand,119487.85,2022-03-15,1981-01-11
UX Designer,Netherlands,72601.21,2022-02-09,1998-12-03
Finance Manager,New Zealand,124945.94,2022-03-06,1994-06-07
Product Manager,Switzerland,132287.48,2016-02-24,1986-07-06
CTO,France,264701.99,2022-03-08,1981-09-24
HR Manager,Ireland,65803.84,2020-10-16,1988-01-23
Senior Software Engineer,Mexico,139808.77,2024-04-20,1970-02-19
Data Scientist,Sweden,129660.88,2024-01-03,1986-02-14
IT Specialist,Switzerland,81800.37,2020-10-30,1976-12-21
Frontend Developer,Brazil,99159.43,2016-03-04,1973-08-25
Financial Analyst,Mexico,84340.44,2018-07-25,1990-08-19
Project Manager,UK,99567.90,2019-08-29,1979-06-05
Software Engineer,Switzerland,68913.56,2020-07-22,1976-01-26
Sales Manager,Australia,116258.43,2018-09-01,1972-12-28
Content Writer,Singapore,50330.52,2024-08-02,1981-02-24
QA Engineer,New Zealand,81778.01,2018-03-12,1979-10-10
CTO,Singapore,246950.13,2016-05-10,1970-02-19
Content Writer,UK,54212.76,2024-03-10,1998-08-18
DevOps Engineer,UK,116663.45,2017-05-24,1984-11-26
Scrum Master,UK,107635.28,2023-11-15,1993-01-20
Project Manager,Sweden,94521.55,2018-10-04,1989-09-07
Marketing Manager,France,80051.82,2018-02-09,2000-07-10
Customer Success Manager,UAE,84043.08,2022-01-15,1995-02-21
Finance Manager,New Zealand,90335.65,2023-08-10,1996-03-09
Frontend Developer,India,89834.82,2024-10-21,1977-07-06
Content Writer,France,57195.73,2022-02-05,1998-03-14
Finance Manager,Norway,123485.82,2018-12-12,1992-10-13
Compliance Officer,South Africa,83003.10,2018-11-08,1993-07-25
Cloud Architect,Australia,114724.01,2022-06-04,1970-09-04
Cloud Architect,Mexico,153070.74,2019-11-30,1977-05-17
Business Analyst,UAE,61264.79,2021-09-12,2000-05-01
Data Scientist,New Zealand,90962.39,2020-02-14,1977-01-06
Machine Learning Engineer,South Africa,109921.24,2022-02-21,1996-05-24
UI Designer,Canada,88545.26,2024-01-20,1999-06-14
System Administrator,Canada,64773.88,2015-05-03,1985-07-18
Accountant,Germany,54222.74,2023-02-13,1984-12-19
UX Designer,Mexico,90562.66,2020-02-29,1992-06-04
Software Engineer,Denmark,78023.54,2021-09-28,1987-11-14
Technical Writer,Japan,65586.11,2023-10-15,1997-09-29
Accountant,Germany,66371.77,2023-01-24,1979-10-12
Finance Manager,France,107947.58,2015-09-07,1972-06-22
HR Manager,France,85632.89,2020-05-04,1992-12-20
Marketing Manager,India,70607.11,2019-12-16,1993-06-11
Accountant,India,68357.38,2022-03-14,1994-02-10
DevOps Engineer,Denmark,96780.04,2015-08-15,1979-08-29
Machine Learning Engineer,USA,128727.36,2024-05-02,1992-05-06
Engineering Manager,Mexico,120666.80,2018-06-18,2000-09-01
Backend Developer,UAE,91572.16,2022-01-28,1971-06-07
IT Specialist,Netherlands,72937.07,2022-03-06,1989-09-04
UX Designer,USA,97409.41,2019-03-09,1996-11-05
Finance Manager,Norway,127834.26,2018-10-13,1996-02-11
Compliance Officer,Australia,92423.64,2017-05-12,1973-01-26
UX Designer,Switzerland,71529.30,2015-04-20,2000-02-28
Technical Writer,Germany,62199.78,2015-03-22,1996-12-20
Engineering Manager,Singapore,142332.35,2015-10-19,1970-06-16
IT Specialist,Denmark,57487.23,2020-06-09,1988-09-22
VP of Engineering,Australia,162181.20,2017-03-13,1975-09-19
Graphic Designer,Norway,55213.69,2016-03-01,1978-06-15
UI Designer,New Zealand,91702.12,2023-09-15,2000-09-22
Frontend Developer,Netherlands,64910.63,2017-12-09,1999-09-16
Cloud Architect,Germany,112351.62,2016-03-03,1999-02-14
Network Engineer,Canada,90883.55,2016-09-11,1973-09-23
Full Stack Developer,USA,98148.70,2020-04-12,1985-07-06
QA Engineer,Sweden,84983.63,2016-12-05,1982-08-26
Sales Manager,Norway,118436.34,2018-12-10,1980-02-01
Software Engineer,Norway,82217.33,2021-08-04,1983-10-02
Junior Developer,France,56757.49,2016-12-19,1983-03-04
Finance Manager,UK,110246.07,2016-03-20,1998-01-08
Data Scientist,Germany,117419.95,2022-02-27,1973-07-14
Technical Writer,New Zealand,83528.95,2017-01-21,1995-04-03
CTO,Netherlands,196099.92,2021-06-11,1992-01-27
Technical Writer,South Africa,83857.00,2022-01-09,1983-12-02
Support Engineer,Mexico,77849.38,2021-03-20,1990-05-16
Graphic Designer,Japan,70505.97,2019-01-03,1970-02-20
CTO,Denmark,193420.14,2019-04-14,1998-08-17
DevOps Engineer,Mexico,103126.48,2020-01-09,1994-06-28
Machine Learning Engineer,Australia,99836.18,2022-09-29,1982-10-18
Project Manager,Germany,98174.01,2016-06-04,1994-04-12
Business Analyst,India,62823.30,2017-11-24,1987-10-23
Engineering Manager,Sweden,168389.59,2015-08-03,1991-11-22
QA Engineer,Australia,67614.84,2019-02-11,1975-07-26
CTO,India,236402.84,2019-02-08,1975-01-06
Full Stack Developer,UK,84514.19,2018-11-01,1989-09-24
CTO,Ireland,271417.40,2023-11-03,1977-02-07
Finance Manager,New Zealand,91008.38,2022-03-29,1983-02-24
HR Manager,India,78530.11,2022-01-10,1997-05-07
Customer Success Manager,Denmark,91544.02,2016-10-27,1993-09-14
DevOps Engineer,Japan,92881.86,2018-08-30,1998-04-26
Data Analyst,Australia,70919.10,2024-07-18,1984-03-08
DevOps Engineer,Denmark,114962.53,2024-05-26,1996-04-10
Frontend Developer,Sweden,86677.84,2016-03-04,1986-12-01
Financial Analyst,Singapore,74715.05,2020-08-02,1980-09-30
Operations Manager,UK,114759.23,2020-04-05,1981-06-27
Scrum Master,South Africa,104362.88,2018-03-28,1979-01-24
Security Analyst,Germany,87684.35,2022-02-12,1988-12-14
Marketing Manager,Sweden,79868.34,2020-12-18,1986-10-06
Cloud Architect,Ireland,104393.41,2018-12-25,1972-02-10
Marketing Manager,South Africa,99719.37,2019-11-01,1997-09-04
Scrum Master,France,81519.77,2018-08-06,1981-03-30
Support Engineer,UAE,57150.00,2016-10-01,1974-09-06
System Administrator,Brazil,79507.76,2022-04-16,1988-09-24
Senior Software Engineer,UK,131349.15,2019-07-11,1976-05-03
Accountant,Germany,62935.51,2018-06-15,1998-04-24
Engineering Manager,Ireland,149778.78,2016-09-29,1987-07-30
VP of Engineering,Brazil,179886.65,2023-07-08,1990-06-02
Frontend Developer,Mexico,78746.41,2024-11-10,1978-01-03
Data Analyst,Brazil,75059.15,2023-05-26,1981-12-07
Data Scientist,UK,82496.86,2018-01-09,1970-06-27
IT Specialist,India,67736.52,2017-06-03,1992-09-03
Content Writer,India,55993.28,2019-11-29,1997-03-22
Database Administrator,Mexico,98589.57,2018-06-14,1987-01-08
Compliance Officer,UK,85280.30,2016-09-24,1977-05-10
Customer Success Manager,USA,81872.46,2020-08-31,1995-02-08
Frontend Developer,Norway,85389.99,2023-05-08,1999-10-26
Legal Counsel,Canada,135069.35,2016-07-07,1992-02-03
DevOps Engineer,Ireland,112059.37,2023-10-09,1972-07-19
UI Designer,Japan,63415.75,2016-09-22,1973-09-27
Project Manager,Denmark,106474.70,2015-04-07,1981-01-23
Software Engineer,Singapore,62153.09,2017-01-27,1976-05-26
Operations Manager,Australia,75061.47,2016-06-04,1974-07-14
Product Manager,Australia,102675.36,2015-07-30,1986-09-11
CTO,South Africa,205032.28,2018-02-01,1987-11-11
Product Manager,Germany,130792.36,2015-10-26,1989-01-05
Financial Analyst,France,94616.45,2015-01-15,1990-02-18
Network Engineer,USA,71069.59,2019-09-10,1972-10-10
VP of Engineering,India,151249.06,2018-04-13,1972-10-29
Technical Writer,France,57547.98,2021-05-27,2000-05-13
Technical Writer,South Africa,71387.72,2019-07-21,1997-10-19
System Administrator,India,71407.14,2015-06-21,1973-06-09
Backend Developer,New Zealand,84027.12,2020-02-18,1992-11-30
Legal Counsel,Australia,127252.36,2016-10-25,1990-11-12
Legal Counsel,Australia,110747.55,2019-03-21,1975-04-30
Engineering Manager,Netherlands,123301.32,2018-10-26,1990-11-06
Network Engineer,Brazil,95326.86,2016-10-02,1974-12-27
Finance Manager,USA,118613.88,2023-01-03,1970-04-29
Compliance Officer,Australia,86300.05,2015-09-10,1982-01-05
Senior Software Engineer,Norway,96662.52,2024-04-17,1984-12-18
Accountant,Netherlands,56352.30,2024-10-28,1997-05-15
Accountant,India,56779.30,2022-09-13,1995-09-03
Scrum Master,France,96558.78,2016-03-13,1996-11-07
Senior Software Engineer,Singapore,96696.62,2023-02-14,1977-02-13
Marketing Manager,Australia,75125.95,2018-02-15,1972-01-09
Data Scientist,Singapore,124253.63,2020-10-04,1991-05-15
Data Scientist,France,104626.97,2020-03-04,1973-07-10
Junior Developer,New Zealand,56275.30,2019-09-14,1993-02-18
System Administrator,Brazil,61351.03,2015-07-12,1997-04-14
Frontend Developer,France,78247.51,2021-12-26,1994-09-08
Cloud Architect,Switzerland,121726.72,2019-08-12,1999-12-24
Sales Manager,Canada,105350.38,2020-01-23,1971-01-02
CTO,South Africa,184790.15,2017-08-07,1976-09-21
Database Administrator,Switzerland,99829.33,2019-12-04,1977-09-26
Engineering Manager,Australia,149502.16,2016-11-28,1973-07-14
Frontend Developer,Denmark,80846.63,2019-03-12,1980-11-13
System Administrator,India,85704.24,2015-05-18,1974-09-11
Project Manager,Ireland,87468.05,2015-08-14,1994-11-28
Senior Software Engineer,Canada,94990.38,2021-06-07,1996-02-19
Data Analyst,South Africa,87394.99,2017-09-04,1999-01-23
Accountant,UAE,65789.95,2016-10-20,1987-11-02
Full Stack Developer,Netherlands,87279.04,2016-04-25,1971-06-15
CTO,Canada,183484.54,2023-03-29,1984-01-19
IT Specialist,South Africa,76329.26,2021-06-04,1971-07-27
Legal Counsel,South Africa,101376.26,2018-11-03,1978-07-24
Operations Manager,Ireland,84211.72,2019-05-16,1984-01-07
Software Engineer,UAE,88948.66,2023-01-30,1987-04-06
Project Manager,Denmark,108460.16,2024-05-31,1974-11-21
Content Writer,Sweden,53355.76,2021-12-23,1998-06-10
DevOps Engineer,Japan,104390.90,2017-03-10,1974-01-12
Data Scientist,India,105274.90,2023-11-07,1991-04-01
Technical Writer,Netherlands,63931.97,2017-01-04,1980-09-03
HR Manager,France,93396.74,2015-08-31,1983-04-02
Full Stack Developer,India,70632.58,2019-03-14,1974-01-12
Full Stack Developer,Singapore,99923.16,2023-03-20,1991-08-23
Database Administrator,Mexico,88350.35,2015-01-05,1981-07-08
Cloud Architect,Singapore,127727.28,2019-09-27,1973-12-12
Full Stack Developer,Singapore,106008.62,2023-03-03,1982-07-05
Database Administrator,UK,86904.90,2018-11-23,1988-04-15
Data Scientist,India,124220.75,2015-06-20,1985-06-30
Security Analyst,UAE,109733.62,2019-06-14,1986-05-04
UX Designer,Canada,74863.36,2021-05-16,1983-06-17
Customer Success Manager,South Africa,88218.54,2019-05-10,1984-09-12
Network Engineer,UAE,92705.85,2022-01-17,1973-11-08
IT Specialist,Singapore,64332.20,2016-04-09,1978-03-23
Security Analyst,Switzerland,108876.74,2022-07-19,1981-02-04
Full Stack Developer,New Zealand,72239.11,2023-01-31,1979-04-06
Frontend Developer,India,75332.75,2023-08-12,1985-04-06
Frontend Developer,India,88062.50,2018-10-07,1986-05-03
Engineering Manager,Denmark,153336.00,2021-01-24,1996-05-01
Junior Developer,Japan,51111.03,2020-10-30,1973-05-13
Software Engineer,Japan,80641.01,2017-11-04,1988-08-13
QA Engineer,Brazil,70786.74,2018-01-21,1983-07-14
CTO,Denmark,204134.70,2022-07-05,1997-10-19
Graphic Designer,India,64356.42,2018-12-09,1973-11-28
Data Analyst,Canada,56909.97,2016-06-02,1985-08-27
Project Manager,Brazil,119631.22,2017-06-09,1999-06-03
Data Scientist,Canada,126685.52,2019-06-14,1988-06-03
Content Writer,Sweden,47762.16,2017-10-21,1988-03-21
Data Scientist,South Africa,84060.69,2021-07-05,1978-09-04
Network Engineer,Japan,79689.03,2017-12-18,1971-01-21
UI Designer,Australia,83280.76,2015-10-23,2000-12-18
Customer Success Manager,Switzerland,87589.22,2016-02-28,1978-10-23
Finance Manager,South Africa,111642.37,2023-05-01,1987-02-17
Junior Developer,Germany,52245.28,2015-04-22,1978-12-18
Data Scientist,Norway,117306.52,2023-12-23,1980-06-09
HR Manager,India,80578.69,2015-05-17,1992-12-28
DevOps Engineer,Switzerland,100351.52,2023-11-30,1988-06-26
Marketing Manager,Australia,96580.25,2024-12-18,1983-10-21
IT Specialist,Japan,57047.45,2022-08-06,1992-10-30
Full Stack Developer,Canada,109746.57,2016-11-29,1987-12-05
Technical Writer,Canada,72085.20,2015-05-16,1984-12-05
Scrum Master,Mexico,102558.87,2021-01-11,1970-11-09
Data Scientist,India,90762.46,2021-05-22,1972-06-12
Network Engineer,Brazil,79499.27,2019-03-18,1990-01-10
VP of Engineering,India,214365.56,2020-07-06,1983-03-20
UI Designer,Ireland,90558.80,2019-07-13,1981-10-01
Legal Counsel,South Africa,142183.69,2023-05-17,1979-05-14
Financial Analyst,Ireland,76394.89,2015-05-20,1984-08-09
Sales Manager,Switzerland,107339.10,2018-05-03,1978-01-17
Software Engineer,South Africa,87309.38,2015-08-28,1984-03-22
Data Analyst,Canada,66481.03,2023-11-08,1999-03-23
Backend Developer,France,96407.37,2019-08-15,1970-01-24
QA Engineer,Canada,59052.03,2016-08-11,1972-11-19
UX Designer,Brazil,103894.45,2017-09-30,1995-06-03
Financial Analyst,Germany,69016.81,2017-02-02,1973-12-06
Product Manager,Brazil,120815.13,2016-01-31,1988-07-15
Financial Analyst,Mexico,91191.29,2024-05-19,1986-05-31
Legal Counsel,Germany,100374.99,2019-01-25,1980-05-12
Cloud Architect,Netherlands,157171.25,2016-05-05,1987-11-02
Data Analyst,Germany,66626.60,2022-10-23,1981-08-25
Senior Software Engineer,Australia,121518.23,2024-04-23,1990-09-06
Graphic Designer,Denmark,47621.54,2020-03-24,1970-11-19
Cloud Architect,USA,116847.07,2018-07-14,1987-08-16
Customer Success Manager,Brazil,72481.75,2016-05-25,1999-03-20
Legal Counsel,Norway,119244.94,2021-10-03,1989-07-09
